"keys","en","vi"
"DLG_TPL_EXAMINE_WIRE_ENDS_LOCKED_1","Placeholder: look at the fence itself first.","Tạm: hãy xem chính hàng rào trước."
"DLG_TPL_EXAMINE_YARD_CAMERA_1","Placeholder: optional red-herring footage.","Tạm: đoạn phim đánh lạc hướng (tùy chọn)."
"DLG_TPL_EXAMINE_AFTER_1","Placeholder: nothing new here.","Tạm: không có gì mới."
"EVID_TPL_SEAL_REGISTRY_SHORT","Placeholder short description (seal registry).","Mô tả ngắn tạm (seal registry)."
"EVID_TPL_FERRY_GATE_SHORT","Placeholder short description (ferry gate).","Mô tả ngắn tạm (ferry gate)."
"EVID_TPL_FERRY_PHOTO_SHORT","Placeholder short description (ferry photo).","Mô tả ngắn tạm (ferry photo)."
"EVID_TPL_PORT_MAP_NOTE_SHORT","Placeholder short description (port map note).","Mô tả ngắn tạm (port map note)."
"EVID_TPL_LOCKER_LOG_SHORT","Placeholder short description (locker log).","Mô tả ngắn tạm (locker log)."
"EVID_TPL_CUT_FENCE_SHORT","Placeholder short description (cut fence).","Mô tả ngắn tạm (cut fence)."
"EVID_TPL_FENCE_SHEET_SHORT","Placeholder short description (fence sheet).","Mô tả ngắn tạm (fence sheet)."
"EVID_TPL_WIRE_ENDS_SHORT","Placeholder short description (wire ends).","Mô tả ngắn tạm (wire ends)."
"EVID_TPL_YARD_SIGHTING_SHORT","Placeholder short description (yard sighting).","Mô tả ngắn tạm (yard sighting)."
