"keys","en","vi"
"EVID_TEST_BADGE_DETAIL","A tarnished brass badge with a worn engraving, tucked out of sight. Too faded to read clearly.","Một chiếc huy hiệu đồng xỉn màu với dòng chữ khắc đã mòn, giấu kín trong góc khuất. Quá mờ để đọc rõ."
"EVID_TEST_NOTE_NAME","Torn Note","Mảnh Giấy Rách"
"EVID_TEST_NOTE_SHORT","A torn scrap of paper.","Một mảnh giấy bị xé rách."
"EVID_TEST_NOTE_DETAIL","Half of a handwritten note. The rest is missing. Only a few words are still legible.","Một nửa mảnh giấy viết tay. Phần còn lại đã mất. Chỉ còn vài chữ có thể đọc được."
"LOC_TEST_ROOM_NAME","Test Room","Phòng Thử Nghiệm"
"LOC_TEST_HALLWAY_NAME","Test Hallway","Hành Lang Thử Nghiệm"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_GREETING_LABEL","Say hello","Chào hỏi"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_ABOUT_MOVING_LABEL","Ask if there's somewhere else you should look","Hỏi xem có nơi nào khác nên đi tìm không"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_ABOUT_KEY_LABEL","Ask about the key","Hỏi về chiếc chìa khóa"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_ABOUT_EVIDENCE_LABEL","Ask about what you're carrying","Hỏi về những gì bạn đang mang theo"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_ABOUT_HALLWAY_TRIP_LABEL","Ask about your trip to the hallway","Hỏi về chuyến đi tới hành lang"
"LOC_TEST_ROOM_TOPIC_CHARACTER_A_ABOUT_CHARACTER_B_LABEL","Mention Character B","Nhắc đến Nhân Vật B"
"LOC_TEST_ROOM_EXAMINE_DESK_LABEL","Examine the Desk","Khám xét Bàn Làm Việc"
"LOC_TEST_ROOM_EXAMINE_WINDOW_LABEL","Examine the Window","Khám xét Cửa Sổ"
"LOC_TEST_ROOM_DEST_TEST_HALLWAY_LABEL","Go to the Hallway","Đi đến Hành Lang"
"LOC_TEST_HALLWAY_TOPIC_CHARACTER_A_GREETING_HALLWAY_LABEL","Say hello","Chào hỏi"
"LOC_TEST_HALLWAY_TOPIC_CHARACTER_B_GREETING_LABEL","Say hello","Chào hỏi"
"LOC_TEST_HALLWAY_TOPIC_CHARACTER_B_CLUE_LABEL","Ask about the badge","Hỏi về chiếc huy hiệu"
"LOC_TEST_HALLWAY_TOPIC_CHARACTER_B_CHAPTER_02_DEBRIEF_LABEL","Ask if there's anything else","Hỏi xem còn điều gì khác không"
"LOC_TEST_HALLWAY_EXAMINE_SHELF_LABEL","Examine the Shelf","Khám xét Kệ Sách"
"LOC_TEST_HALLWAY_EXAMINE_MIRROR_LABEL","Examine the Mirror","Khám xét Tấm Gương"
"LOC_TEST_HALLWAY_DEST_TEST_ROOM_LABEL","Back to the Room","Quay lại Phòng"
"DLG_CHARACTER_A_GREETING_N1_TEXT","Oh, hello there. Can I help you with something?","Ồ, chào bạn. Tôi có thể giúp gì được không?"
"DLG_CHARACTER_A_GREETING_N1_CHOICE1_TEXT","Ask about the desk.","Hỏi về chiếc bàn làm việc."
"DLG_CHARACTER_A_GREETING_N1_CHOICE2_TEXT","Nothing, thanks.","Không có gì, cảm ơn."
"DLG_CHARACTER_A_GREETING_N2_TEXT","The desk? Go ahead and take a look at it yourself.","Cái bàn à? Cứ tự nhiên xem thử đi."
"DLG_CHARACTER_A_ABOUT_KEY_N1_TEXT","Still thinking about that key? I already told you what I know.","Vẫn còn nghĩ về chiếc chìa khóa đó à? Tôi đã kể hết những gì tôi biết rồi."
"DLG_CHARACTER_A_ABOUT_KEY_N2_TEXT","Go on, the hallway's open now. See for yourself.","Cứ đi đi, hành lang giờ đã mở rồi. Tự mình xem thử xem."
"DLG_CHARACTER_A_PRESENT_KEY_N1_TEXT","Wait — where did you find that key?!","Khoan đã — bạn tìm thấy chiếc chìa khóa đó ở đâu vậy?!"
"DLG_CHARACTER_A_PRESENT_KEY_N2_TEXT","...Fine. It opens something down the hallway. You should go take a look.","...Được rồi. Nó mở một thứ gì đó ở cuối hành lang. Bạn nên đến xem thử."
"DLG_CHARACTER_A_PRESENT_GENERIC_N1_TEXT","Hm. I don't think that has anything to do with me.","Hừm. Tôi không nghĩ cái đó liên quan gì đến tôi."
"DLG_CHARACTER_A_ABOUT_EVIDENCE_N1_TEXT","You're holding onto something interesting there. Let me know if you find anything else.","Bạn đang giữ thứ gì đó khá thú vị đấy. Cho tôi biết nếu tìm thấy thêm gì khác nhé."
"DLG_CHARACTER_A_ABOUT_HALLWAY_TRIP_N1_TEXT","Oh, you went and looked around the hallway? What did you think?","Ồ, bạn đã đi xem quanh hành lang rồi à? Bạn thấy sao?"
"DLG_CHARACTER_A_ABOUT_HALLWAY_TRIP_N2_TEXT","Nothing much to say about it, honestly.","Thật ra thì cũng không có gì nhiều để nói."
"DLG_CHARACTER_A_ABOUT_CHARACTER_B_N1_TEXT","Yes, I know Character B. We don't talk much.","Ừ, tôi biết Nhân Vật B. Chúng tôi không nói chuyện nhiều."
"DLG_CHARACTER_A_ABOUT_MOVING_N1_TEXT","Actually — there's something down the hallway I should go check myself. Give me a moment.","Thật ra — có thứ gì đó ở cuối hành lang tôi nên tự đi kiểm tra. Cho tôi một chút thời gian."
"DLG_CHARACTER_A_GREETING_HALLWAY_N1_TEXT","Oh — you followed me out here.","Ồ — bạn đã theo tôi ra đây."
"DLG_CHARACTER_A_GREETING_HALLWAY_N2_TEXT","I told you I had something to check. Go ahead, look around.","Tôi đã nói là tôi có việc cần kiểm tra mà. Cứ tự nhiên xem quanh đi."
"DLG_CHARACTER_B_GREETING_N1_TEXT","...Oh. Didn't see you there.","...Ồ. Không để ý thấy bạn ở đó."
"DLG_CHARACTER_B_GREETING_N2_TEXT","Can I help you?","Tôi có thể giúp gì được không?"
"DLG_CHARACTER_B_CLUE_N1_TEXT","You found the badge too? And the key...","Bạn cũng tìm thấy cái huy hiệu à? Cả chiếc chìa khóa nữa..."
"DLG_CHARACTER_B_CLUE_N2_TEXT","...That's not something I wanted anyone to see. Fine — ask your questions.","...Đó không phải là thứ tôi muốn ai nhìn thấy. Được rồi — cứ hỏi đi."
"DLG_CHARACTER_B_PRESENT_BADGE_N1_TEXT","Where did you get that?! That's mine.","Bạn lấy cái đó ở đâu vậy?! Đó là của tôi."
"DLG_CHARACTER_B_PRESENT_GENERIC_N1_TEXT","That doesn't belong to me.","Cái đó không phải của tôi."
"DLG_EXAMINE_DESK_BEFORE_N1_TEXT","The desk is cluttered with old papers. Something small and metallic glints from underneath a folder.","Chiếc bàn bừa bộn với những tờ giấy cũ. Có thứ gì đó nhỏ và ánh kim lấp lánh dưới một tập hồ sơ."
"DLG_EXAMINE_DESK_BEFORE_N2_TEXT","You picked up the Old Key.","Bạn đã nhặt được Chìa Khóa Cũ."
"DLG_EXAMINE_DESK_AFTER_N1_TEXT","Just papers now. You already found what was hidden here.","Giờ chỉ còn giấy tờ thôi. Bạn đã tìm thấy thứ giấu ở đây rồi."
"DLG_EXAMINE_WINDOW_BEFORE_N1_TEXT","The window overlooks a quiet street. A torn note is wedged in the frame.","Cửa sổ nhìn ra một con phố yên tĩnh. Có một mảnh giấy rách kẹt trong khung cửa."
"DLG_EXAMINE_WINDOW_BEFORE_N2_TEXT","You picked up a Torn Note.","Bạn đã nhặt được Mảnh Giấy Rách."
"DLG_EXAMINE_WINDOW_AFTER_N1_TEXT","Just the street outside. Nothing else catches your eye.","Chỉ còn con phố bên ngoài. Không còn gì khác thu hút sự chú ý."
"DLG_EXAMINE_SHELF_BEFORE_N1_TEXT","A dusty shelf. Something is tucked behind a stack of boxes.","Một kệ sách phủ bụi. Có thứ gì đó giấu sau chồng hộp."
"DLG_EXAMINE_SHELF_BEFORE_N2_TEXT","You picked up a Brass Badge.","Bạn đã nhặt được Huy Hiệu Đồng."
"DLG_EXAMINE_SHELF_AFTER_N1_TEXT","Just an empty shelf now.","Giờ chỉ còn kệ sách trống."
"DLG_EXAMINE_MIRROR_BEFORE_N1_TEXT","A plain mirror hangs on the wall. Your reflection looks tired. This is a flavor-only examine point — it grants no evidence, and demonstrates the ""examined"" condition instead of an evidence-gated variant.","Một tấm gương bình thường treo trên tường. Hình ảnh phản chiếu của bạn trông có vẻ mệt mỏi. Đây là một điểm khám xét chỉ để tạo không khí — nó không cho vật chứng nào, và minh họa điều kiện ""đã khám xét"" thay vì một biến thể phụ thuộc vào vật chứng."
"DLG_EXAMINE_MIRROR_AFTER_N1_TEXT","Just your reflection again. Nothing new to see.","Vẫn chỉ là hình ảnh phản chiếu của bạn. Không có gì mới để xem."
"DLG_EXAMINE_MIRROR_NOTE_READY_N1_TEXT","Now that Character A has come through here, you notice something wedged behind the mirror frame that wasn't visible before. This variant exists purely to demonstrate an event changing an examine response — see the mirror_note_ready event in data/events/test_events.json.","Giờ khi Nhân Vật A đã đi qua đây, bạn nhận ra có thứ gì đó kẹt sau khung gương mà trước đây không nhìn thấy được. Biến thể này chỉ nhằm minh họa một sự kiện làm thay đổi phản hồi khám xét — xem sự kiện mirror_note_ready trong data/events/test_events.json."
"DLG_TEST_EFFECTS_REMOVE_EVIDENCE_N1_TEXT","(test-only) removes test_note via the remove_evidence effect.","(chỉ dùng để kiểm thử) xóa test_note thông qua hiệu ứng remove_evidence."
"DLG_CHARACTER_B_CHAPTER_02_DEBRIEF_N1_TEXT","So that's everything from my side. I think we're about done here.","Vậy là hết những gì tôi biết rồi. Tôi nghĩ chúng ta xong việc ở đây rồi."
"CASE_CASE_00_SANDBOX_NAME","Milestone 0 Sandbox","Sân Thử Nghiệm Milestone 0"
"CASE_TEST_CASE_NAME","Test Case","Vụ Án Thử Nghiệm"
"CASE_TEST_CASE_DESC","Milestone 1.6 placeholder case: proves the Case/Chapter architecture (two chapters, chapter-scoped content, case completion) reusing the existing Milestone 0-1.5 sandbox content. Disposable placeholder content, not a real case — see docs/case-system.md.","Vụ án tạm cho Milestone 1.6: chứng minh kiến trúc Vụ Án/Chương (hai chương, nội dung giới hạn theo chương, hoàn thành vụ án) tái sử dụng nội dung sân thử nghiệm Milestone 0-1.5 đã có. Nội dung tạm dùng để bỏ đi, không phải vụ án thật — xem docs/case-system.md."
"CHAPTER_TEST_CASE_CHAPTER_01_NAME","Chapter 01","Chương 01"
"CHAPTER_TEST_CASE_CHAPTER_02_NAME","Chapter 02","Chương 02"
"DED_PROTO_X_NAME","[Prototype X] The Archive Ledger","[Nguyên mẫu X] Cuốn Sổ Cái Ở Kho Lưu Trữ"
"DED_PROTO_X_DESC","Non-canon dummy mystery for deduction playtests. A confidential ledger has vanished from Stack Room 3 of the city archive.","Vụ án giả lập không thuộc cốt truyện, chỉ dùng để thử nghiệm suy luận. Một cuốn sổ cái mật đã biến mất khỏi Phòng Kho 3 của kho lưu trữ thành phố."
"DED_PROTO_X_SUS_MARA_NAME","Mara Voss (archivist)","Mara Voss (nhân viên lưu trữ)"
"DED_PROTO_X_SUS_OREN_NAME","Oren Tal (visiting researcher)","Oren Tal (nhà nghiên cứu khách)"
"DED_PROTO_X_SUS_ILSE_NAME","Ilse Brandt (front-desk clerk)","Ilse Brandt (nhân viên quầy lễ tân)"
"DED_PROTO_X_Q_OWNER_TEXT","Could Mara have used her own badge at 20:06?","Liệu Mara có thể đã tự dùng thẻ của mình lúc 20:06 không?"
"DED_PROTO_X_Q_ACCESS_TEXT","Who could have presented Mara's badge at 20:06?","Ai có thể đã quẹt thẻ của Mara lúc 20:06?"
"DED_PROTO_X_Q_STAGING_TEXT","What does the forced window really show?","Ô cửa sổ bị phá thực sự cho thấy điều gì?"
"DED_PROTO_X_Q_CULPRIT_TEXT","Who took the ledger, and how was it covered up?","Ai đã lấy cuốn sổ cái, và việc đó đã được che đậy thế nào?"
"DED_PROTO_X_E_DOOR_LOG_NAME","Stack Room door log","Nhật ký cửa Phòng Kho"
"DED_PROTO_X_E_DOOR_LOG_TEXT","Security log: Mara Voss's staff badge opened Stack Room 3, inside the stacks wing, at 20:06. Badges work only when held to the reader; they cannot be copied, and doors cannot be opened remotely.","Nhật ký an ninh: thẻ nhân viên của Mara Voss đã mở Phòng Kho 3, nằm trong khu kho sách, lúc 20:06. Thẻ chỉ hoạt động khi áp trực tiếp vào đầu đọc; thẻ không thể sao chép và cửa không thể mở từ xa."
"DED_PROTO_X_E_TRAM_TAP_NAME","Mara's travel-card record","Lịch sử thẻ đi tàu của Mara"
"DED_PROTO_X_E_TRAM_TAP_TEXT","Transit record: Mara's travel card tapped out at Harbor Station at 20:04. The gate camera shows Mara herself tapping it.","Dữ liệu giao thông: thẻ đi tàu của Mara quẹt ra tại ga Cảng lúc 20:04. Camera ở cổng cho thấy chính Mara là người quẹt thẻ."
"DED_PROTO_X_E_HARBOR_PHOTO_NAME","Friend's dinner photo","Ảnh bữa tối của bạn Mara"
"DED_PROTO_X_E_HARBOR_PHOTO_TEXT","A photo posted by Mara's friend shows Mara at a table in Harbor Grill; the harbor clock behind her reads 20:05.","Một bức ảnh do bạn của Mara đăng cho thấy Mara ngồi tại một bàn ở nhà hàng Harbor Grill; đồng hồ bến cảng phía sau cô chỉ 20:05."
"DED_PROTO_X_E_ROUTE_NOTE_NAME","Transit map note","Ghi chú bản đồ giao thông"
"DED_PROTO_X_E_ROUTE_NOTE_TEXT","The fastest trip between Harbor Station and the archive takes 25 minutes, even by taxi.","Chuyến đi nhanh nhất giữa ga Cảng và kho lưu trữ mất 25 phút, kể cả đi taxi."
"DED_PROTO_X_E_LOST_PROPERTY_SHEET_NAME","Lost-property sheet","Sổ đồ thất lạc"
"DED_PROTO_X_E_LOST_PROPERTY_SHEET_TEXT","Ilse's lost-property sheet: 19:48 'grey cardigan, staff badge clipped on (M. Voss) — taken by O. Tal, will return it to her'. 20:14 'cardigan handed back in by O. Tal'.","Sổ đồ thất lạc do Ilse ghi: 19:48 'áo cardigan xám, có kẹp thẻ nhân viên (M. Voss) — O. Tal nhận, hứa trả lại cho cô ấy'. 20:14 'O. Tal mang áo cardigan trả lại'."
"DED_PROTO_X_E_WING_CAMERA_NAME","Stacks-wing camera log","Nhật ký camera khu kho sách"
"DED_PROTO_X_E_WING_CAMERA_TEXT","Camera on the stacks wing's only entrance: the 19:30 closing check finds the wing empty and locks it; 19:51 Oren walks in wearing a grey cardigan with a badge clipped on; 20:13 he walks out still wearing it. Nobody else enters or leaves the wing between 19:30 and 20:30.","Camera ở lối vào duy nhất của khu kho sách: đợt kiểm tra đóng cửa lúc 19:30 xác nhận khu này trống người và khóa lại; 19:51 Oren đi vào, mặc áo cardigan xám có kẹp thẻ; 20:13 anh ta đi ra, vẫn mặc chiếc áo đó. Không ai khác ra vào khu này từ 19:30 đến 20:30."
"DED_PROTO_X_E_FORCED_WINDOW_NAME","Forced Stack Room window","Cửa sổ Phòng Kho bị phá"
"DED_PROTO_X_E_FORCED_WINDOW_TEXT","Stack Room 3's window has been forced open, and the ledger shelf, full at the 19:30 closing check, is empty. Dust shaken from the window frame lies on top of fresh footprints leading to the shelf; the dust on the sill is undisturbed.","Cửa sổ Phòng Kho 3 bị phá mở, và kệ sổ cái, vẫn đầy lúc kiểm tra đóng cửa 19:30, nay trống trơn. Bụi rơi từ khung cửa sổ nằm đè lên những dấu chân mới dẫn tới kệ; lớp bụi trên bậu cửa vẫn nguyên vẹn."
"DED_PROTO_X_E_LATCH_GUIDE_NAME","Window-repair guide","Hướng dẫn sửa cửa sổ"
"DED_PROTO_X_E_LATCH_GUIDE_TEXT","Illustrated window-repair guide: when a latched window is forced open, its latch bends away from the side the force came from.","Hướng dẫn sửa cửa sổ có hình minh họa: khi một cửa sổ đang cài chốt bị phá mở, chốt cửa bị cong về phía ngược với phía lực tác động."
"DED_PROTO_X_E_WINDOW_LATCH_NAME","The window latch","Chốt cửa sổ"
"DED_PROTO_X_E_WINDOW_LATCH_TEXT","The window's latch is bent outward, toward the courtyard.","Chốt cửa sổ bị cong ra ngoài, về phía sân."
"DED_PROTO_X_E_BACK_DOOR_SIGHTING_NAME","Night guard's account","Lời kể của bảo vệ đêm"
"DED_PROTO_X_E_BACK_DOOR_SIGHTING_TEXT","Night guard: 'Around 20:10 I watched Ilse carry a sealed box out the back door. I heard the window crack a few minutes after eight, but not while I was watching her.'","Bảo vệ đêm: 'Khoảng 20:10 tôi thấy Ilse mang một thùng niêm phong ra cửa sau. Tôi nghe tiếng cửa sổ bật ra lúc hơn tám giờ vài phút, nhưng không phải lúc đang nhìn cô ấy.'"
"DED_PROTO_X_E_SHREDDING_LOG_NAME","Shredding pickup log","Sổ nhận giấy hủy"
"DED_PROTO_X_E_SHREDDING_LOG_TEXT","Contractor's log: about 20:10, one sealed box of shredded paper collected at the back door, handed over by I. Brandt.","Sổ của bên thu gom: khoảng 20:10, nhận một thùng giấy hủy niêm phong tại cửa sau, do I. Brandt bàn giao."
"DED_PROTO_X_ST_MARA_WENT_TO_HARBOR_TEXT","Mara: 'I left around half past seven and went straight to Harbor for dinner.'","Mara: 'Tôi rời đi khoảng bảy rưỡi và đến thẳng khu Cảng ăn tối.'"
"DED_PROTO_X_ST_MARA_BADGE_ON_CARDIGAN_TEXT","Mara: 'My badge was clipped to my cardigan, like always.'","Mara: 'Thẻ của tôi kẹp trên áo cardigan, như mọi khi.'"
"DED_PROTO_X_ST_OREN_NEVER_TOUCHED_TEXT","Oren: 'I never had anything of Mara's.'","Oren: 'Tôi chưa từng cầm thứ gì của Mara.'"
"DED_PROTO_X_ST_OREN_BREAK_IN_TEXT","Oren: 'Obviously someone forced that window from the courtyard and climbed in.'","Oren: 'Rõ ràng có kẻ đã phá cửa sổ từ phía sân rồi trèo vào.'"
"DED_PROTO_X_ST_ILSE_LEFT_EARLY_TEXT","Ilse: 'I locked the front desk and went home at quarter to eight.'","Ilse: 'Tôi khóa quầy lễ tân rồi về nhà lúc tám giờ kém mười lăm.'"
"DED_PROTO_X_HYP_MARA_TEXT","Hypothesis: Mara used her own badge to take the ledger.","Giả thuyết: Mara đã dùng chính thẻ của mình để lấy cuốn sổ cái."
"DED_PROTO_X_HYP_ILSE_TEXT","Hypothesis: Ilse smuggled the ledger out in the sealed box.","Giả thuyết: Ilse đã lén mang cuốn sổ cái ra ngoài trong thùng niêm phong."
"DED_PROTO_X_HYP_OUTSIDER_TEXT","Hypothesis: an outside thief broke in through the window.","Giả thuyết: một tên trộm bên ngoài đã đột nhập qua cửa sổ."
"DED_PROTO_X_EXP_SHREDDING_BOX_TEXT","Ilse's box was the scheduled shredding pickup, not the ledger.","Thùng của Ilse là đợt giao giấy hủy theo lịch, không phải cuốn sổ cái."
"DED_PROTO_X_DED_BADGE_MISUSED_TEXT","Someone other than Mara used Mara's badge at 20:06.","Một người không phải Mara đã dùng thẻ của Mara lúc 20:06."
"DED_PROTO_X_DED_OREN_SIGNED_OUT_BADGE_TEXT","Oren signed Mara's badge out of lost property before it was used and handed it back afterwards.","Oren đã nhận thẻ của Mara từ quầy đồ thất lạc trước khi thẻ được dùng, và trả lại sau đó."
"DED_PROTO_X_DED_ONLY_OREN_HAD_BADGE_TEXT","Only Oren could have presented Mara's badge at 20:06: it was signed out to him, he was the only person in the stacks wing, and a badge can't be copied or used remotely.","Chỉ Oren mới có thể đã quẹt thẻ của Mara lúc 20:06: thẻ được giao cho anh ta, anh ta là người duy nhất trong khu kho sách, và thẻ không thể sao chép hay dùng từ xa."
"DED_PROTO_X_DED_BREAK_IN_STAGED_TEXT","The window was forced from inside the room, after someone had already walked to the shelf, to fake a break-in.","Cửa sổ bị phá từ bên trong phòng, sau khi đã có người đi tới kệ, nhằm dựng cảnh đột nhập."
"DED_PROTO_X_CONCL_TEXT","Oren used Mara's badge, clipped to the cardigan he had signed out of lost property, to enter Stack Room 3 and take the ledger, then forced the window from inside to make it look like an outside break-in.","Oren đã dùng thẻ của Mara, kẹp trên chiếc áo cardigan anh ta nhận từ quầy đồ thất lạc, để vào Phòng Kho 3 lấy cuốn sổ cái, rồi phá cửa sổ từ bên trong để trông như có kẻ đột nhập từ ngoài vào."
"DED_PROTO_X_TL_MARA_LEAVES_LABEL","Mara leaves the archive","Mara rời kho lưu trữ"
"DED_PROTO_X_TL_CARDIGAN_TAKEN_LABEL","Oren takes Mara's cardigan from lost property","Oren nhận áo cardigan của Mara từ quầy đồ thất lạc"
"DED_PROTO_X_TL_MARA_TRAM_TAP_LABEL","Mara's card taps out at Harbor Station","Thẻ của Mara quẹt ra tại ga Cảng"
"DED_PROTO_X_TL_BADGE_USED_LABEL","Mara's badge opens Stack Room 3","Thẻ của Mara mở Phòng Kho 3"
"DED_PROTO_X_TL_WINDOW_FORCED_LABEL","The Stack Room window is forced","Cửa sổ Phòng Kho bị phá"
"DED_PROTO_X_TL_SHREDDING_PICKUP_LABEL","Ilse hands over the shredding box","Ilse bàn giao thùng giấy hủy"
"DED_PROTO_X_TL_CARDIGAN_RETURNED_LABEL","Oren hands the cardigan back in","Oren trả lại áo cardigan"
"DED_PROTO_X_HINT_MISUSED_1","Ask yourself: where was Mara at the moment her badge opened the door?","Hãy tự hỏi: Mara đang ở đâu vào đúng lúc thẻ của cô mở cửa?"
"DED_PROTO_X_HINT_MISUSED_2","Compare times, places, and how long it takes to travel between them.","Hãy so sánh thời gian, địa điểm, và thời gian cần để di chuyển giữa chúng."
"DED_PROTO_X_HINT_MISUSED_3","The door log, Mara's travel-card record and the transit map note belong together.","Nhật ký cửa, lịch sử thẻ đi tàu của Mara và ghi chú bản đồ giao thông có liên quan với nhau."
"DED_PROTO_X_HINT_MISUSED_4","Someone other than Mara used her badge at 20:06.","Một người không phải Mara đã dùng thẻ của cô lúc 20:06."
"DED_PROTO_X_HINT_ACCESS_1","The badge wasn't in Mara's hands. Whose hands could it have been in at 20:06, and nobody else's?","Chiếc thẻ không nằm trong tay Mara. Lúc 20:06 nó có thể nằm trong tay ai, và không thể nằm trong tay người nào khác?"
"DED_PROTO_X_HINT_ACCESS_2","Look at who had possession of the badge, where they were, and who else could have been there.","Hãy xem ai đang giữ chiếc thẻ, người đó ở đâu, và còn ai khác có thể có mặt ở đó."
"DED_PROTO_X_HINT_ACCESS_3","Compare the lost-property sheet with the stacks-wing camera log.","Hãy đối chiếu sổ đồ thất lạc với nhật ký camera khu kho sách."
"DED_PROTO_X_HINT_ACCESS_4","Start from what the badge record already proves: someone other than Mara used it at 20:06.","Hãy bắt đầu từ điều nhật ký thẻ đã chứng minh: một người không phải Mara đã dùng nó lúc 20:06."
"DED_PROTO_X_HINT_STAGED_1","What does the forced window actually tell you about how the thief got in?","Ô cửa sổ bị phá thực sự cho bạn biết gì về cách kẻ trộm vào phòng?"
"DED_PROTO_X_HINT_STAGED_2","Look closely at the scene, and at what the repair guide says about forced latches.","Hãy quan sát kỹ hiện trường và xem hướng dẫn sửa chữa nói gì về chốt cửa bị phá."
"DED_PROTO_X_HINT_STAGED_3","The forced window, the window-repair guide and the bent latch belong together.","Cửa sổ bị phá, hướng dẫn sửa cửa sổ và chốt cửa bị cong có liên quan với nhau."
"DED_PROTO_X_HINT_STAGED_4","The window was forced from inside to fake a break-in.","Cửa sổ bị phá từ bên trong để dựng cảnh đột nhập."
"DED_PROTO_X_HINT_CULPRIT_1","Who took the ledger, and what did they do to hide how?","Ai đã lấy cuốn sổ cái, và họ đã làm gì để che giấu cách làm?"
"DED_PROTO_X_HINT_CULPRIT_2","Combine who alone could have used the means of entry with what was staged at the scene.","Hãy kết hợp việc ai là người duy nhất có thể dùng phương tiện ra vào với những gì được dàn dựng tại hiện trường."
"DED_PROTO_X_HINT_CULPRIT_3","The stacks-wing camera log and the bent latch point the same way.","Nhật ký camera khu kho sách và chốt cửa bị cong cùng chỉ về một hướng."
"DED_PROTO_X_HINT_CULPRIT_4","Only Oren could have presented Mara's badge at 20:06.","Chỉ Oren mới có thể đã quẹt thẻ của Mara lúc 20:06."
